danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.87900000000002,audio_features,19gEmPjfqSZT0ulDRfjl0m,spotify:track:19gEmPjfqSZT0ulDRfjl0m,https://api.spotify.com/v1/tracks/19gEmPjfqSZT0ulDRfjl0m,https://api.spotify.com/v1/audio-analysis/19gEmPjfqSZT0ulDRfjl0m,194561,4,Hiphop,Hot N*gga,,
0.667,0.511,10,-7.949,1,0.038,0.823,1.84e-05,0.103,0.6809999999999999,200.0,audio_features,4XJlKNehaCUUeviadnz1Fg,spotify:track:4XJlKNehaCUUeviadnz1Fg,https://api.spotify.com/v1/tracks/4XJlKNehaCUUeviadnz1Fg,https://api.spotify.com/v1/audio-analysis/4XJlKNehaCUUeviadnz1Fg,155459,4,Dark Trap,Security!,,
0.879,0.591,1,-6.194,1,0.149,0.431,0.118,0.123,0.0748,134.99,audio_features,1VAFud1nSkqa7efJBxONAz,spotify:track:1VAFud1nSkqa7efJBxONAz,https://api.spotify.com/v1/tracks/1VAFud1nSkqa7efJBxONAz,https://api.spotify.com/v1/audio-analysis/1VAFud1nSkqa7efJBxONAz,142222,4,Rap,WATCH ME,,
0.797,0.542,9,-7.324,1,0.346,0.018,0.0,0.0838,0.313,155.862,audio_features,2KSFen8RLeGFqBQ8Dfx1gU,spotify:track:2KSFen8RLeGFqBQ8Dfx1gU,https://api.spotify.com/v1/tracks/2KSFen8RLeGFqBQ8Dfx1gU,https://api.spotify.com/v1/audio-analysis/2KSFen8RLeGFqBQ8Dfx1gU,110769,4,Dark Trap,Pull Out Game,,
0.207,0.953,11,-4.635,1,0.153,0.000166,0.00927,0.257,0.2,106.945,audio_features,4fwqAO7Sq7jSCWeliHadVf,spotify:track:4fwqAO7Sq7jSCWeliHadVf,https://api.spotify.com/v1/tracks/4fwqAO7Sq7jSCWeliHadVf,https://api.spotify.com/v1/audio-analysis/4fwqAO7Sq7jSCWeliHadVf,244520,4,Emo,Hollow,,
0.732,0.8270000000000001,11,-0.679,1,0.382,0.219,0.01,0.106,0.227,144.946,audio_features,5x4c6ECVU6Yms2pnpTVIpr,spotify:track:5x4c6ECVU6Yms2pnpTVIpr,https://api.spotify.com/v1/tracks/5x4c6ECVU6Yms2pnpTVIpr,https://api.spotify.com/v1/audio-analysis/5x4c6ECVU6Yms2pnpTVIpr,244966,4,trap,,12191.0,HEADBANGERS:Dubstep/Riddim
0.677,0.961,10,0.8029999999999999,0,0.294,0.629,0.0,0.278,0.52,149.125,audio_features,5TXhrhNmLIIOAA1BJJMA7m,spotify:track:5TXhrhNmLIIOAA1BJJMA7m,https://api.spotify.com/v1/tracks/5TXhrhNmLIIOAA1BJJMA7m,https://api.spotify.com/v1/audio-analysis/5TXhrhNmLIIOAA1BJJMA7m,168500,4,Underground Rap,ISIS TYPE BEAT,,
0.394,0.865,10,-2.528,0,0.0399,0.07,7.609999999999999e-05,0.17,0.1669999999999999,150.061,audio_features,09BxJMIz6CkunwqTPgpEWV,spotify:track:09BxJMIz6CkunwqTPgpEWV,https://api.spotify.com/v1/tracks/09BxJMIz6CkunwqTPgpEWV,https://api.spotify.com/v1/audio-analysis/09BxJMIz6CkunwqTPgpEWV,192000,4,hardstyle,,18139.0,Euphoric Hardstyle - 2020
0.7929999999999999,0.921,7,-5.174,1,0.117,0.0122,0.00498,0.812,0.216,124.001,audio_features,3JTCaoFD18Y7BsLttKo924,spotify:track:3JTCaoFD18Y7BsLttKo924,https://api.spotify.com/v1/tracks/3JTCaoFD18Y7BsLttKo924,https://api.spotify.com/v1/audio-analysis/3JTCaoFD18Y7BsLttKo924,216774,4,techhouse,,1042.0,Dirtybird Players
0.5760000000000001,0.927,7,-2.71,1,0.116,0.000975,2.58e-05,0.0793,0.117,150.065,audio_features,3ZBjngAO3inEW61sDiNYdH,spotify:track:3ZBjngAO3inEW61sDiNYdH,https://api.spotify.com/v1/tracks/3ZBjngAO3inEW61sDiNYdH,https://api.spotify.com/v1/audio-analysis/3ZBjngAO3inEW61sDiNYdH,228804,4,trap,,14189.0,I'm a fucking Headbanger
0.721,0.929,1,-3.221,0,0.215,0.0901,0.0,0.305,0.547,204.012,audio_features,1aBXNJsLuOeo6ZIeNRkbRc,spotify:track:1aBXNJsLuOeo6ZIeNRkbRc,https://api.spotify.com/v1/tracks/1aBXNJsLuOeo6ZIeNRkbRc,https://api.spotify.com/v1/audio-analysis/1aBXNJsLuOeo6ZIeNRkbRc,295413,4,Hiphop,Holla At Me,,
0.515,0.877,6,-3.906,0,0.0644,0.00836,8.09e-05,0.156,0.317,174.05900000000003,audio_features,2qNk3ta20XjhrLDCJRjBwn,spotify:track:2qNk3ta20XjhrLDCJRjBwn,https://api.spotify.com/v1/tracks/2qNk3ta20XjhrLDCJRjBwn,https://api.spotify.com/v1/audio-analysis/2qNk3ta20XjhrLDCJRjBwn,244431,4,dnb,,16181.0,Liqduicity Drum & Bass
